t,x,y
5.000000E0,1.534674E0,1.013369E0
5.033333E0,1.534824E0,1.014223E0
5.066667E0,1.534255E0,1.015064E0
5.100000E0,1.536148E0,1.020551E0
5.133333E0,1.537264E0,1.022860E0
5.166667E0,1.533769E0,1.028371E0
5.200000E0,1.529207E0,1.038980E0
5.233333E0,1.527398E0,1.045614E0
5.266667E0,1.524213E0,1.053451E0
5.300000E0,1.526190E0,1.057476E0
5.333333E0,1.531031E0,1.065012E0
5.366667E0,1.536418E0,1.068805E0
5.400000E0,1.547995E0,1.071283E0
5.433333E0,1.559273E0,1.071834E0
5.466667E0,1.565183E0,1.069958E0
5.500000E0,1.573261E0,1.067600E0
5.533333E0,1.581844E0,1.060571E0
5.566667E0,1.587279E0,1.054772E0
5.600000E0,1.592607E0,1.048205E0
5.633333E0,1.599747E0,1.041149E0
5.666667E0,1.605033E0,1.034978E0
5.700000E0,1.609354E0,1.025924E0
5.733333E0,1.608979E0,1.018459E0
5.766667E0,1.611166E0,1.008215E0
5.800000E0,1.611511E0,1.002894E0
5.833333E0,1.610812E0,9.981306E-1
5.866667E0,1.610560E0,9.961189E-1
5.900000E0,1.609551E0,9.968070E-1
5.933333E0,1.607529E0,1.001870E0
5.966667E0,1.594201E0,1.005578E0
6.000000E0,1.583265E0,1.003335E0
6.033333E0,1.572972E0,1.001354E0
6.066667E0,1.558757E0,9.978241E-1
6.100000E0,1.554369E0,9.945010E-1
6.133333E0,1.552015E0,9.950195E-1
6.166667E0,1.551632E0,9.947518E-1
6.200000E0,1.552902E0,9.936250E-1
6.233333E0,1.550695E0,9.857253E-1
6.266667E0,1.546365E0,9.756536E-1
6.300000E0,1.538669E0,9.713459E-1
6.333333E0,1.537840E0,9.695862E-1
6.366667E0,1.537374E0,9.699421E-1
6.400000E0,1.535337E0,9.673989E-1
6.433333E0,1.531332E0,9.677565E-1
6.466667E0,1.531325E0,9.686570E-1
6.500000E0,1.531347E0,9.689460E-1
6.533333E0,1.528777E0,9.688983E-1
6.566667E0,1.519764E0,9.728994E-1
6.600000E0,1.507477E0,9.749576E-1
6.633333E0,1.496847E0,9.812372E-1
6.666667E0,1.483574E0,9.821598E-1
6.700000E0,1.470118E0,9.813253E-1
6.733333E0,1.459032E0,9.800410E-1
6.766667E0,1.444230E0,9.729938E-1
6.800000E0,1.427498E0,9.639723E-1
6.833333E0,1.417298E0,9.496791E-1
6.866667E0,1.407371E0,9.352487E-1
6.900000E0,1.394286E0,9.230805E-1
